id,topic,content
3788,0,"['社会', '弱者', '纸醉金迷', '粉丝', '恶人', '影响力', '法治']"
4275,2,"['涨粉', '小米', '红包', '粉丝', '卡券', '账号', '矩阵', '案例', '起家', '男神', '流量', '瓶颈', '事情']"
4377,2,"['粉丝', '体验', '账号', '资格']"
4480,1,"['贡献', '力量', '医务人员', '前线', '社会', '肺炎', '疫区', '后勤', '粉丝', '专业']"
4483,1,"['贡献', '力量', '医务人员', '前线', '社会', '肺炎', '疫区', '后勤', '粉丝', '专业']"
4517,2,"['代表', '名字', '空间', '有心人', '借机', '个人行为', '缅怀', '粉群', '关联', '粉丝']"
4572,0,"['逝者', '粉丝', '狗鲵']"
4999,1,"['套路', '指导', '投稿', '老年人', '女性', '韭菜', '贵重', '评论', '名言', '流程', '礼物', '粉丝', '励志', '例子', '保健品', '男人', '内容']"
5384,2,"['博主', '受害人', '粉丝', '口罩', '立人', '律师', '网友', '无辜', '记录', '国难', '利益', '洗脑', '个人信息', '对方', '误导', '场合', '证明']"
5498,2,"['高手', '粉丝', '玫瑰', '直指', '无辜']"
5561,1,"['粉丝', '鯰鸡', '受害者', '诈骗犯', '同流合污']"
5716,2,"['员工工资', '苹果', '粉丝', '普通百姓', '巨头', '大众', '供应链', '六位数', '高峰期', '明显降低', '房租']"
5746,0,"['诈骗犯', '粉丝', '同流合污', '好心']"
6236,1,"['消费量', '弱智', '数量级', '卫生用品', '着陆点', '利润', '粉丝']"
6541,0,"['学生', '花钱', '粉丝', '工作者', '散粉路', '人粉', '激情', '冲锋', '团粉', '网贷', '危害', '感觉', '莎的', '待遇', '嫖党', '氛围']"
6689,1,"['儿子', '高管', '老爸', '同桌', '外挂', '爸爸', '功耗', '厂商', '理工', '数学考试', '卷子', '障碍', '小米', '粉丝', '前脚', '智力', '成本', '面积', '成绩']"
6854,0,"['粉丝', '空间', '甘心', '身化', '物化', '文化', '消费主义', '共同体', '灌篮高手', '周边产品']"
7204,0,"['绿色', '地区', '森林', '电视剧', '好友', '号手', '公益林', '荒漠化', '页面', '樟子松', '粉丝']"
7498,0,"['评论', '公司', '好好学习', '机器人', '法律', '复制粘贴', '资金', '花钱', '管理人员', '粉丝', '精神']"
7542,1,"['大哥', '粉丝', '影响力', '心态', '老牌', '污点', '态家', '熊兔', '虎牙', '直播间']"
7624,1,"['小时候', '粉丝', '投稿', '徽章']"
7874,0,"['绿色', '地区', '森林', '电视剧', '好友', '号手', '公益林', '荒漠化', '页面', '樟子松', '粉丝']"
7888,2,"['小米', '多角度', '教徒', '信仰', '粉丝', '公司', '顽疾', '风向标']"
7953,0,"['大哥', '直播间', '虎牙', '礼物', '链接', '网页', '粉丝', '舞蹈', '因话', '实力']"
8000,1,"['小米', '大众', '圈子', '数码', '高端', '手机', '产品', '爱好者', '声量', '资金', '想象', '销量', '小众', '粉丝', '智能手机', '普及', '口碑', '发烧友']"
8020,2,"['数据', '财经', '星数', '粉丝', '科学', '商业', '时代', '榜单', '客观', '价值', '代言人', '视角', '定义', '数据库', '野榜', '热度']"
8067,0,"['粉丝', '党能', '物品', '学生', '手幅', '链接', '心声', '网页', '兔民', '透扇', '文具', '日常用品', '首饰', '礼物', '安利']"
8181,0,"['绿色', '地区', '森林', '电视剧', '好友', '公益林', '荒漠化', '页面', '樟子松', '粉丝']"
8300,0,"['公司', '粉丝', '爱豆', '经纪', '声明', '中韩大站', '账号', '社交', '成员', '队长', '姿态', '消息', '速度', '表态', '会员']"
8359,0,"['代言人', '领养', '代言', '一带', '销量', '领导力', '观星', '瞳款', '关键时期', '宇宙', '联合国', '爱心', '粉丝', '胡乱', '范丞丞', '度假区', '公益']"
8576,1,"['粉丝', '妮吧', '焦点', '良性', '意见', '成员', '团体', '舞台', '专辑', '面包', '事宜']"
8658,2,"['情绪', '无辜', '仇恨', '目的', '生气', '女权', '地方', '粉丝', '群体']"
8714,0,"['核心', '晒单', '粉丝', '家庭', '结构', '意愿', '挚友', '麻麻', '决策者']"
8868,0,"['绿色', '地区', '森林', '电视剧', '好友', '公益林', '荒漠化', '页面', '樟子松', '粉丝']"
8892,0,"['产品', '逻辑', '软件', '股东', '粉丝', '经理', '精神', '机型', '缺点', '黑子', '工程师', '硬件']"
8951,2,"['现金流', '家庭', '粉丝', '底气', '现金', '来源', '大城市', '事情']"
