id,topic,content
6369,5,"['头油', '口令', '时段', '物流', '充分条件', '产品', '黑头', '贡献', '评论', '头屑', '总算']"
6388,4,"['泰国', '游客', '司机', '皇宫', '热门', '景点', '颗粒无收', '旅游团', '旅游业', '廉价', '出租车']"
6391,4,"['泰国', '游客', '司机', '皇宫', '热门', '景点', '颗粒无收', '旅游团', '旅游业', '廉价', '出租车']"
6419,5,"['省钱', '节省', '出租车', '饮料', '零食', '杂志', '地铁', '概念', '方式', '天蝎座']"
6455,4,"['泰国', '游客', '司机', '皇宫', '热门', '景点', '颗粒无收', '旅游团', '旅游业', '廉价', '出租车']"
6723,8,"['飞猪', '投票', '智行', '公司', '胡乱', '乘客', '无故', '时刻', '网友', '企业名单', '买票', '财经', '旅行网']"
6727,7,"['电影', '司机', '短片', '出租车', '影视']"
6801,4,"['乘客', '船员', '标题', '指南', '文章', '链接', '原文', '邮轮', '爆料', '全车', '事发', '旧金山湾', '大事', '所有人']"
7036,6,"['政策', '社会', '列车', '抵挡不住', '历史', '卖货', '消费主义', '卖房', '投机', '利益', '民众', '养猪', '危机', '动力', '机遇', '刹车']"
7285,7,"['餐饮', '物流', '字幕', '制造业', '亚洲']"
7530,9,"['电影', '影视', '怒火', '司机', '出租车', '宅急送', '貂蝉']"
7741,3,"['外资', '外贸', '服务平台', '机制', '物流', '商贸', '潜力']"
7963,7,"['电影', '司机', '短片', '出租车', '影视']"
8243,2,"['共青城', '垃圾', '产品', '烟草', '香烟', '名牌', '管理局', '市监局', '环境', '食品', '规范市场', '秩序', '羽绒服', '新城', '市将', '市场监管', '南湖', '酒水', '中转站']"
9106,2,"['秩序', '肺炎', '新冠']"
9124,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9184,2,"['秩序', '肺炎', '新冠']"
9398,5,['出租车']
9449,8,"['欧洲', '汇率', '股票', '气氛', '消耗品', '时差', '心动', '心理', '党们', '实体', '节约', '物流']"
9466,6,"['昌吉市', '昌吉州', '饭馆', '干部', '餐饮', '服务业', '秩序', '日报', '部长', '王国', '组织部', '党委书记', '汉江', '机关干部', '县市', '小吃街', '购物', '党政机关']"
9483,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9490,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9497,5,"['经济社会', '秩序', '部署', '长春', '长春市']"
9524,5,"['经济社会', '秩序', '部署', '长春']"
9543,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9614,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9627,5,"['经济社会', '秩序', '部署', '长春市']"
9645,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9668,2,"['部署', '公安部', '交管局', '肺炎', '肇祸', '新冠', '肇事', '形势', '营业', '群众', '秩序', '管理局', '全国公安', '交管部门', '餐饮', '交通', '势头']"
9842,3,"['茶叶', '通告', '信阳市', '规范', '信阳', '合格', '产品', '秩序', '套用', '毛尖', '乱象', '范围']"
9849,2,"['肺炎', '新冠', '形势', '肇祸', '持续保持', '肇事', '势头', '营业', '群众', '秩序', '餐饮', '爆料', '事故']"
9886,5,"['经济社会', '秩序', '部署', '长春']"
9928,0,"['京东', '大山', '售后', '证明', '物流', '乐意', '购物', '低价', '优势', '外界']"
9959,5,"['经济社会', '秩序', '部署', '长春市', '宽城']"
10060,7,"['消費者', '物流', '醫護人員', '醫院', '武漢', '市中心', '爱心', '点滴', '時期', '資源', '障礙', '力行']"
10137,2,"['新冠', '社会', '案件', '典型', '肺炎', '形势', '肇祸', '湖州', '肇事', '动态', '现象', '营业', '群众', '被查获', '秩序', '部署', '交通事故', '餐饮']"
10257,4,"['中心', '内容', '银行', '保险机构', '机制', '体制', '金融', '秩序', '人民', '思想', '金融风险', '金融机构', '意见', '指导', '银行业', '责任', '保险业', '主体']"
10297,2,"['公安部', '部署', '管理局', '交通', '肺炎', '肇祸', '新冠', '洛阳', '肇事', '形势', '营业', '群众', '秩序', '餐饮', '河南']"
10406,1,"['印象', '长春市', '购物中心', '商业', '肺炎', '经济社会', '吉林', '人民网', '商城', '综合体', '商业街', '长春', '频道', '新冠', '部署', '秩序']"
10432,2,"['大路口', '洛阳', '时间表', '肺炎', '新冠', '形势', '营业', '群众', '秩序', '蜀黍', '餐饮']"
10501,5,"['节省', '出租车', '省钱', '差劲', '饮料', '零食', '杂志', '地铁', '方式', '狮子座', '概念']"
10723,9,"['信用', '趋势', '资本', '二者', '程度', '货币', '体系', '钥匙', '关键', '时空', '精神', '动物', '货币政策', '短期化', '本质', '秩序']"
10822,8,"['南京', '司机', '出租车', '消费类', '餐饮', '优惠券']"
10847,8,"['灰烬', '女性', '患者', '秩序', '女症', '人性', '性别', '物化', '火把', '事情']"
11264,7,"['汽车', '消息面', '航空', '物流', '核心']"
11384,7,"['连板', '麻花', '食品', '网红', '物流', '老字号', '加工业']"
11406,6,"['鸡翅膀', '螺蛳', '广西', '物流', '隐形', '老表', '发货']"
11471,3,"['重庆', '出租车', '计量', '作弊', '有限公司', '电子', '出租汽车', '股份', '重庆市', '驾驶员', '公司', '友联', '信号', '市场监管', '总队', '管理局']"
11863,1,"['信心', '商业街', '无人', '金属', '经济体', '结论', '失业人数', '撰文', '数据', '乘客', '亮点', '日用品']"
11934,9,"['经济社会', '词条', '小伙伴', '目标', '任务', '英汉', '价格指数', '秩序']"
12206,5,"['省钱', '节省', '出租车', '饮料', '零食', '杂志', '地铁', '概念', '方式', '天蝎座']"
12472,0,"['概念', '手势', '报告', '定义', '色彩', '图像', '人类', '财富', '价值观', '消费主义', '文化', '广告', '列车', '关联', '地球', '起点', '世界', '观众']"
12563,0,"['望城', '范围', '全区', '营业', '群众', '交警大队', '秩序', '餐饮', '饮酒']"
12623,0,"['消费主义', '列车']"
